NHSTID,DIVA_NR,Y_KOORD,X_KOORD,CHSTNAME,CNAME,VTYP,HSTTYP,HAFAS_PRIO,LINKTEXT,ZONEN,SYMB_CODE,SYMB_TEXT,LINIEN,E,N,fahrgastza,fahrgast_1,fahrgast_2,fahrgast_3,fahrgast_4,fahrgast_5,fahrgast_6,fahrgast_7,fahrgast_8,fahrgast_9,lng,lat
"8591294","6459",,,"Zürich, Oerlikerhus",Zürich,Tram,"&nbsp;","2",,"110","5",Tram,"10,11","2684184","1252462","95","101",1093.958904109590094,1053.426136986299980,1395.071314741039942,1353.536573705179990,"6459",ZOER,2147.385041095889846,2748.607888446219931,8.554206352565284,47.417585035171392
"8591109","3717",,,"Zürich, Chinagarten",Zürich,Bus,"&nbsp;","0",,"110","2",Bus,"912,916","2684189","1245449","17","20",63.746712328767103,65.504602739725996,47.729999999999997,57.439999999999998,"3717",CHIN,129.251315068493000,105.170000000000002,8.552952976075513,47.354514276309168
"8591192","1194",,,"Zürich, Hinterbergstrasse",Zürich,Trolleybus,"&nbsp;","0",,"110","2",Bus,"33","2684270","1248296","340","352",397.806956164384019,223.651422191780995,477.317605577688994,268.712187649401983,"1194",HINT,621.458378356164985,746.029793227090977,8.554560802582301,47.380108039120046
"8576198","1286",,,"Zürich, Höschgasse",Zürich,"Bus,Tram,Trolleybus","&nbsp;","2",,"110","3",Bus Tram,"2,4,33,912,916,N18","2684278","1245837","209","218",5270.118917808220431,5080.550633424660191,6159.038904382469809,6006.671040637449551,"1286",HOES,10350.669551232900631,12165.709945019900260,8.554203828005679,47.357992341038418
"8590783","410",,,"Rüschlikon, Schlossstrasse",Rüschlikon,Bus,"&nbsp;","0",,"150","2",Bus,"165","2684317","1240911","273","284",219.465178082192011,188.902219178081992,262.050000000000011,227.830000000000013,"410",BSRU,408.367397260274004,489.879999999999995,8.553793421799893,47.313685616980855
"8591078","471",,,"Zürich, Bethanien",Zürich,Trolleybus,"&nbsp;","0",,"110","2",Bus,"33","2684377","1248387","338","350",157.400406301369998,506.349853424658022,186.249754183266987,608.937715139442048,"471",BETH,663.750259726028048,795.187469322709035,8.555994704249198,47.380912737576267
"8591420","2814",,,"Zürich, Waldgarten",Zürich,"Bus,Tram","&nbsp;","2",,"110","3",Bus Tram,"7,9,75,N11","2684431","1250924","139","146",1495.552520547950053,1511.218301369860001,1674.943944223110066,1680.025019920319892,"2814",WALD,3006.770821917809826,3354.968964143430185,8.557188576903100,47.403721803240927
"8590626","6508",,,"Glattbrugg, Lindberghplatz",Glattbrugg,"Bus,Tram","&nbsp;","2",,"121","3",Bus Tram,"10,12,781","2684688","1253361","571","589",2175.016958904110197,2063.480904109590028,2658.230000000000018,2526.369999999999891,"6508",GLIN07,4238.497863013700226,5184.600000000000364,8.561054700668224,47.425605289724878
"8503083","2124",,,"Zürich, Römerhof",Zürich,"Bus,Tram,Zahnradbahn","&nbsp;","2",,"110","10",Bergbahn Bus Tram,"3,8,25,N16,N19","2684740","1246976","397","409",3623.110821917809972,3639.163232876710026,4062.830876494019776,4061.262231075700129,"2124",ROEM,7262.274054794520453,8124.093107569719905,8.560533979791906,47.368176552158950
"8591238","1471",,,"Zürich, Krönleinstrasse",Zürich,Bus,"&nbsp;","0",,"110","2",Bus,"39","2684752","1248757","644","663",23.038191780821901,34.118191780821903,25.940000000000001,37.140000000000001,"1471",KROE,57.156383561643800,63.079999999999998,8.561030076840268,47.384192131419994
"8591343","2326",,,"Zürich, Schörlistrasse",Zürich,Tram,"&nbsp;","2",,"110","5",Tram,"7,9","2684932","1251178","140","147",1344.201561643840023,1203.655315068489926,1541.208007968130005,1359.340517928289955,"2326",SCHO,2547.856876712330177,2900.548525896419960,8.563873299053558,47.405941667012208
