field_1,Haltestellen_Id,ein_dtv,aus_dtv,ein_dwv,aus_dwv,HALTESTELLEN_Haltestellennummer,HALTESTELLEN_Haltestellenkurzname,HALTESTELLEN_Haltestellenlangname,sum_dtv,sum_dwv
"46","51",789.98498630137,731.653232876712,897.761992031873,832.761075697211,"3760",HALO,"Zürich, Hallenbad Oerlikon",1521.63821917808,1730.52306772908
"47","52",836.734164383562,834.518,957.931752988048,943.996454183267,"2069",RIEG,"Zürich, Riedgraben",1671.25216438356,1901.92820717132
"48","53",1072.83789041096,1168.46550684932,1247.95454183267,1364.13454183267,"2145",SAAT,"Zürich, Saatlenstrasse",2241.30339726028,2612.08908366534
"49","54",264.014657534247,337.144684931507,303.663306772908,381.127131474104,"708",DREI,"Zürich, Dreispitz",601.159342465754,684.790438247012
"50","55",405.58295890411,539.79802739726,453.115856573705,607.756972111554,"114",AUBR,"Zürich, Aubrücke",945.38098630137,1060.87282868526
"51","56",186.52002739726,266.73495890411,231.061792828685,314.343426294821,"1179",HERZ,"Zürich, Herzogenmühlestrasse",453.25498630137,545.405219123506
"52","57",8864.60076712329,8675.27991780822,10120.6655776892,9889.39326693227,"2294",SCHW,"Zürich, Schwamendingerplatz",17539.8806849315,20010.0588446215
"53","58",272.478821917808,145.934273972603,310.816454183267,169.459083665339,"2688",TULP,"Zürich, Tulpenstrasse",418.413095890411,480.275537848606
"54","59",228.993260273973,145.552164383562,258.298247011952,169.992270916335,"1160",HERB,"Zürich, Herbstweg",374.545424657535,428.290517928287
"55","60",10909.7966849315,10135.3126575342,12368.4693625498,11462.7164940239,"3034",BOER,"Zürich, Bahnhof Oerlikon",21045.1093424657,23831.1858565737
"56","61",1583.41035616438,1746.17906849315,1915.1584063745,2100.40494023904,"2045",REGB,"Zürich, Regensbergbrücke",3329.58942465753,4015.56334661354
"57","62",1020.35893150685,1171.25060273973,1195.04115537849,1384.30179282869,"1821",OBEW,"Zürich, Oberwiesenstrasse",2191.60953424658,2579.34294820718
"58","63",1784.84980821918,1672.52128767123,2020.63569721116,1868.00848605578,"1705",NEUA,"Zürich, Neuaffoltern",3457.37109589041,3888.64418326694
"59","64",2751.93408219178,2807.56065753425,3205.16597609562,3268.78860557769,"1000",GLAU,"Zürich, Glaubtenstrasse",5559.49473972603,6473.95458167331
